Id,division,user type,country,WS_01,WS_02,WS_03,WS_04,WS_05,WS_06,WS_07,WS_08,WS_09,WS_10,WS_11,WSx_11,WSx_12,WSx_13,WSx_14,WSx_15,WSx_16,WSx_17,WSx_18,WSx_19,WSx_20,WS_RM,WS_RM_Language,WS_RM_eng,WS_RM2,WS_RM2_Language,WS_RM2_eng,BA_01,BA_02,BA_03,BA_04,BA_05,BA_06,BAx_11,BAx_12,BAx_13,BAx_14,BAx_15,BAx_16,BAx_17,BAx_18,BAx_19,BAx_20,BA_RM,BA_RM_Language,BA_RM_eng,BA_RM2,BA_RM2_Language,BA_RM2_eng,TR_01,TR_02,TR_03,TR_04,TR_05,TR_06,TR_07,TR_08,TR_09,TR_10,TRx_11,TRx_12,TRx_13,TRx_14,TRx_15,TRx_16,TRx_17,TRx_18,TRx_19,TRx_20,general_OS,general_RM
4577,Strategy & PMI,engineer,Malaysia,4,4,2,4,1,4,3,3,,,,4,3,,,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,6,
4578,Operations & Manufacturing,sales,Netherlands,4,4,4,4,4,4,3,3,,,,4,3,,,,,,,,,,,,,,,4,4,3,4,3,3,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,,,,,,,,,,,,,,8,
4579,Sales & Export,kiosk worker,Germany,3,4,3,3,4,4,3,2,,,,3,3,,,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,2,3,2,3,2,3,2,,,,,,,,,,,,,,8,
4580,Sales & Export,field service engineer,Germany,4,3,4,4,3,4,3,3,,,,4,3,,,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,7,
4581,Sales & Export,engineer,United Kingdom,3,3,2,3,2,3,2,3,,,,3,2,,,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,6,
4582,Information Technology,sales,Netherlands,4,3,4,4,4,4,3,3,,,,4,3,,,,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,,,3,4,4,3,3,3,4,,,,,,,,,,,,,,8,
4583,Operations & Manufacturing,kiosk worker,Thailand,3,3,4,4,3,3,3,3,,,,3,3,,,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,8,
4584,Supply Chain,field service engineer,France,3,3,3,2,3,2,2,3,,,,2,1,,,,,,,,,,,,,,,3,2,2,3,2,2,,,,,,,,,,,,,,,,,2,3,2,2,2,2,2,,,,,,,,,,,,,,5,
4585,Human Resources,engineer,Romania,1,1,2,4,3,4,1,2,,,,3,1,,,,,,,,,,,,,,,2,3,3,1,3,3,,,,,,,,,,,,,,,,,3,3,3,3,2,2,2,,,,,,,,,,,,,,6,
4586,Sales & Export,sales,Germany,1,2,3,3,4,4,3,3,,,,4,3,,,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,4,
4587,Professional Operations,kiosk worker,Norway,4,4,4,3,4,3,4,3,,,,4,4,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,3,3,3,2,3,3,,,,,,,,,,,,,,7,
4588,General Management,field service engineer,Ireland,2,1,1,2,2,4,3,3,,,,2,1,,,,,,,,,,,,,,,3,3,3,3,2,2,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,3,
4589,Operations & Manufacturing,engineer,Germany,3,3,3,3,4,4,4,3,,,,4,4,,,,,,,,,,,,,,,2,3,2,3,2,2,,,,,,,,,,,,,,,,,2,2,2,2,2,2,3,,,,,,,,,,,,,,6,
4590,Marketing,sales,Spain,4,4,3,3,3,3,3,3,,,,3,3,,,,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,9,
4591,Supply Chain,kiosk worker,Netherlands,4,4,3,2,3,4,4,4,,,,4,3,,,,,,,,,,,,,,,4,4,4,4,3,3,,,,,,,,,,,,,,,,,2,2,2,3,3,2,3,,,,,,,,,,,,,,7,
4592,Sales & Export,field service engineer,Brazil,4,4,4,4,4,4,4,4,,,,4,4,,,,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,,,,,,,,,,,,,,10,
4594,Professional Operations,engineer,Belgium,4,4,4,4,4,4,4,4,,,,4,4,,,,,,,,,,,,,,,4,3,3,4,4,4,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,,,,,,,,,,,,,,10,
4595,Sales & Export,sales,Brazil,2,4,4,4,4,4,3,4,,,,4,4,,,,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,,,,,,,,,,,,,,10,
4596,Sales & Export,kiosk worker,Russia,4,4,4,4,4,4,4,4,,,,4,4,,,,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,,,,,,,,,,,,,,10,
4597,Finance,field service engineer,New Zealand,4,4,4,4,2,4,4,4,,,,4,4,,,,,,,,,,,,,,,4,4,4,4,3,4,,,,,,,,,,,,,,,,,3,4,3,4,4,3,3,,,,,,,,,,,,,,5,
4598,Strategy & PMI,engineer,Malaysia,3,2,3,1,1,3,2,3,,,,3,2,,,,,,,,,,,,,,,3,4,4,1,3,3,,,,,,,,,,,,,,,,,2,4,2,2,1,2,4,,,,,,,,,,,,,,5,
4599,Operations & Manufacturing,sales,Netherlands,4,2,4,3,4,3,4,1,,,,2,2,,,,,,,,,,,,,,,3,4,4,2,3,2,,,,,,,,,,,,,,,,,1,2,2,3,1,2,2,,,,,,,,,,,,,,7,
4600,Sales & Export,kiosk worker,Germany,4,4,4,3,3,2,2,1,,,,4,2,,,,,,,,,,,,,,,4,3,1,1,2,2,,,,,,,,,,,,,,,,,3,1,1,2,2,3,4,,,,,,,,,,,,,,5,
4601,Sales & Export,field service engineer,Germany,3,4,3,3,2,2,2,3,,,,4,3,,,,,,,,,,,,,,,1,2,4,2,4,4,,,,,,,,,,,,,,,,,3,3,1,3,1,2,1,,,,,,,,,,,,,,10,
4602,Sales & Export,engineer,United Kingdom,1,4,1,3,3,4,4,1,,,,3,4,,,,,,,,,,,,,,,1,2,2,4,2,2,,,,,,,,,,,,,,,,,3,1,2,4,1,1,2,,,,,,,,,,,,,,4,
4603,Information Technology,sales,Netherlands,3,2,4,1,1,1,4,3,,,,1,2,,,,,,,,,,,,,,,1,1,1,3,3,2,,,,,,,,,,,,,,,,,2,3,4,3,3,4,1,,,,,,,,,,,,,,8,
